[I 2022-10-14 16:05:09,519] A new study created in memory with name: no-name-1abdd6a4-1e1d-4418-b749-bf399fb3da15
[I 2022-10-14 16:05:10,529] Trial 0 finished with value: 40493.93339659086 and parameters: {'alpha': 0.0011650157998441815, 'fit_intercept': False, 'learning_rate': 'constant', 'max_iter': 9000, 'penalty': 'l2', 'random_state': 85, 'shuffle': False}. Best is trial 0 with value: 40493.93339659086.
[I 2022-10-14 16:05:16,476] Trial 12 finished with value: 36936.54042161206 and parameters: {'alpha': 0.010063117608104933, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 300, 'penalty': 'l2', 'random_state': 100, 'shuffle': True}. Best is trial 10 with value: 27694.116182419435.
[I 2022-10-14 16:05:16,612] Trial 13 finished with value: 33639.38953121789 and parameters: {'alpha': 0.017367832842793095, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 2100, 'penalty': 'l2', 'random_state': 60, 'shuffle': True}. Best is trial 10 with value: 27694.116182419435.
[I 2022-10-14 16:05:16,814] Trial 14 finished with value: 2134565154.7835555 and parameters: {'alpha': 0.0015599679357096263, 'fit_intercept': True, 'learning_rate': 'optimal', 'max_iter': 1400, 'penalty': 'l2', 'random_state': 65, 'shuffle': True}. Best is trial 10 with value: 27694.116182419435.
[I 2022-10-14 16:05:17,075] Trial 15 finished with value: 23291.303746510745 and parameters: {'alpha': 0.0036717107995702758, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 3400, 'penalty': 'elasticnet', 'random_state': 55, 'shuffle': True}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:05:17,327] Trial 16 finished with value: 32253.70141761455 and parameters: {'alpha': 0.003808092275802448, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 3400, 'penalty': 'elasticnet', 'random_state': 50, 'shuffle': True}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:05:17,625] Trial 17 finished with value: 34089.80398005752 and parameters: {'alpha': 0.004971405673025675, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 5900, 'penalty': 'elasticnet', 'random_state': 20, 'shuffle': True}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:05:17,832] Trial 18 finished with value: 28040.377861527497 and parameters: {'alpha': 0.02532479196349362, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 3500, 'penalty': 'elasticnet', 'random_state': 40, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:05:18,126] Trial 19 finished with value: 33172.65517905947 and parameters: {'alpha': 0.00334333846645142, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 7600, 'penalty': 'elasticnet', 'random_state': 60, 'shuffle': True}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:05:18,360] Trial 20 finished with value: 31787.054902313033 and parameters: {'alpha': 0.006448932138843047, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 4900, 'penalty': 'elasticnet', 'random_state': 50, 'shuffle': True}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:05:18,981] Trial 21 finished with value: 26810.41177223246 and parameters: {'alpha': 0.021549967363606835, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 3500, 'penalty': 'elasticnet', 'random_state': 35, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:05:19,176] Trial 22 finished with value: 33678.37910006012 and parameters: {'alpha': 0.032186042603078384, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 3200, 'penalty': 'elasticnet', 'random_state': 25, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:05:21,486] Trial 23 finished with value: 30470.08989599457 and parameters: {'alpha': 0.0021906750509192497, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 1300, 'penalty': 'elasticnet', 'random_state': 0, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:05:38,185] Trial 24 finished with value: 5008665930.447273 and parameters: {'alpha': 0.009354846028240025, 'fit_intercept': True, 'learning_rate': 'optimal', 'max_iter': 9900, 'penalty': 'elasticnet', 'random_state': 35, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:05:47,278] Trial 25 finished with value: 30696.046500744957 and parameters: {'alpha': 0.03417063047172229, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 5200, 'penalty': 'l1', 'random_state': 55, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:05:49,278] Trial 26 finished with value: 30586.487438676224 and parameters: {'alpha': 0.0023507248586197315, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 1100, 'penalty': 'elasticnet', 'random_state': 70, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:05:49,515] Trial 27 finished with value: 36857.93144883337 and parameters: {'alpha': 0.007187785937917414, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 4100, 'penalty': 'elasticnet', 'random_state': 40, 'shuffle': True}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:05:54,831] Trial 28 finished with value: 24606.033331018294 and parameters: {'alpha': 0.0010213008420577087, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 2700, 'penalty': 'elasticnet', 'random_state': 30, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:05:59,588] Trial 29 finished with value: 29813163.484280407 and parameters: {'alpha': 0.0010727185408936151, 'fit_intercept': False, 'learning_rate': 'optimal', 'max_iter': 2700, 'penalty': 'elasticnet', 'random_state': 15, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:06:02,550] Trial 30 finished with value: 30630.777517010763 and parameters: {'alpha': 0.0011545515216742188, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 1700, 'penalty': 'elasticnet', 'random_state': 30, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:06:07,627] Trial 31 finished with value: 26825.12509677817 and parameters: {'alpha': 0.002612493962624295, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 2900, 'penalty': 'elasticnet', 'random_state': 45, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:06:10,377] Trial 32 finished with value: 45734.55838564778 and parameters: {'alpha': 0.0022509513848939186, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 2800, 'penalty': 'elasticnet', 'random_state': 45, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:06:18,570] Trial 33 finished with value: 35535.716849716 and parameters: {'alpha': 0.003404860577536178, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 3800, 'penalty': 'elasticnet', 'random_state': 30, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:06:21,058] Trial 34 finished with value: 30316.170665841215 and parameters: {'alpha': 0.0016944318820334174, 'fit_intercept': True, 'learning_rate': 'constant', 'max_iter': 4900, 'penalty': 'elasticnet', 'random_state': 45, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:06:24,957] Trial 35 finished with value: 38951.733947894965 and parameters: {'alpha': 0.004388512711749664, 'fit_intercept': True, 'learning_rate': 'adaptive', 'max_iter': 2200, 'penalty': 'elasticnet', 'random_state': 25, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:06:28,807] Trial 36 finished with value: 29292.35378352179 and parameters: {'alpha': 0.0585555793415166, 'fit_intercept': False, 'learning_rate': 'constant', 'max_iter': 2900, 'penalty': 'l1', 'random_state': 35, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:06:37,396] Trial 37 finished with value: 24998.38038805837 and parameters: {'alpha': 0.016449239613868072, 'fit_intercept': True, 'learning_rate': 'invscaling', 'max_iter': 4600, 'penalty': 'elasticnet', 'random_state': 10, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:06:37,694] Trial 38 finished with value: 39767.87952176089 and parameters: {'alpha': 0.1019710359250367, 'fit_intercept': True, 'learning_rate': 'invscaling', 'max_iter': 4500, 'penalty': 'elasticnet', 'random_state': 0, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:06:48,430] Trial 39 finished with value: 39838.97770970085 and parameters: {'alpha': 0.1862629623902633, 'fit_intercept': False, 'learning_rate': 'invscaling', 'max_iter': 5900, 'penalty': 'elasticnet', 'random_state': 10, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:07:00,709] Trial 40 finished with value: 26327.439789458527 and parameters: {'alpha': 0.019264029260990828, 'fit_intercept': True, 'learning_rate': 'invscaling', 'max_iter': 6800, 'penalty': 'l1', 'random_state': 5, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:07:13,470] Trial 41 finished with value: 47197.261581555686 and parameters: {'alpha': 0.02111748540521292, 'fit_intercept': True, 'learning_rate': 'invscaling', 'max_iter': 7200, 'penalty': 'l1', 'random_state': 5, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:07:22,936] Trial 42 finished with value: 31893.508967075602 and parameters: {'alpha': 0.056612219895312385, 'fit_intercept': True, 'learning_rate': 'invscaling', 'max_iter': 5300, 'penalty': 'l1', 'random_state': 15, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:07:34,988] Trial 43 finished with value: 28835.29952391865 and parameters: {'alpha': 0.01327579349074403, 'fit_intercept': True, 'learning_rate': 'invscaling', 'max_iter': 6800, 'penalty': 'l1', 'random_state': 20, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:07:41,767] Trial 44 finished with value: 31812.610842925016 and parameters: {'alpha': 0.04296465988488021, 'fit_intercept': True, 'learning_rate': 'invscaling', 'max_iter': 3800, 'penalty': 'l1', 'random_state': 5, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:07:51,789] Trial 45 finished with value: 30736.05794712796 and parameters: {'alpha': 0.30112444678749783, 'fit_intercept': True, 'learning_rate': 'invscaling', 'max_iter': 5600, 'penalty': 'l1', 'random_state': 15, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:07:59,919] Trial 46 finished with value: 29711.83976521695 and parameters: {'alpha': 0.007455970729725424, 'fit_intercept': False, 'learning_rate': 'invscaling', 'max_iter': 4500, 'penalty': 'elasticnet', 'random_state': 30, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:08:01,259] Trial 47 finished with value: 51607.59524738669 and parameters: {'alpha': 3.031304565216134, 'fit_intercept': True, 'learning_rate': 'constant', 'max_iter': 6400, 'penalty': 'l1', 'random_state': 5, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:08:01,397] Trial 48 finished with value: 44031.16571072099 and parameters: {'alpha': 0.07976830000021558, 'fit_intercept': True, 'learning_rate': 'invscaling', 'max_iter': 4000, 'penalty': 'elasticnet', 'random_state': 20, 'shuffle': True}. Best is trial 15 with value: 23291.303746510745.
[I 2022-10-14 16:08:15,352] Trial 49 finished with value: 2877584298.102364 and parameters: {'alpha': 0.017037354728047842, 'fit_intercept': True, 'learning_rate': 'optimal', 'max_iter': 8200, 'penalty': 'elasticnet', 'random_state': 55, 'shuffle': False}. Best is trial 15 with value: 23291.303746510745.
